"url","tytul","cena","zdjecie","sprzedajacy","lokalizacja","pozostala_liczba_par","minimalna_cena_dostawy","maksymalna_cena_dostawy","licznik_sprzedazy","stan","płeć","wysokość","materiał zewnętrzny","materiał wkładki","kolor","dostawa z Polski","rozmiar","marka","rodzaj obcasa","wysokość obcasa (cm)","fason","wysokość cholewki","kształt noska","waga (z opakowaniem)","typ","rodzaj"
"http://allegro.pl/promocja-krotkie-botki-na-wysokiej-koturnie-i6531637628.html","PROMOCJA KRÓTKIE BOTKI NA WYSOKIEJ KOTURNIE!!(6531637628)","29.99","https://d.allegroimg.com/s400/0627ec/387e86804b8c9de77f2c0881476d","sklep_szpilka24","rzeczyca","35","13","40","149 osób kupiło 165 par","nowy","produkt damski",NA,"inny materiał","inny materiał","czerń","tak","36, 37, 38, 39, 40, 41","Inna marka","koturn","4.00",NA,NA,NA,NA,NA,NA
"http://allegro.pl/mep7-niesamowite-botki-sznurowane-b902-black-36-41-i6557636757.html","MEP7 NIESAMOWITE BOTKI SZNUROWANE B902 black 36-41(6557636757)","59.99","https://7.allegroimg.com/s400/066c6b/2344789a45c18808eb7702f01257","Royal_fashion","Warszawa","166","15","20","67 osób kupiło 73 pary","nowy","produkt damski",NA,"tworzywo skóropodobne","inny materiał","czerń","tak","36, 37, 38, 39, 40, 41","Inna marka","płaski obcas","2.50",NA,NA,NA,NA,NA,NA
"http://allegro.pl/h8-sznurowane-botki-slupek-na-obcasie-skora-i6552878957.html","H8SZNUROWANE BOTKI SŁUPEK NA OBCASIE SKÓRA(6552878957)","42.99","https://0.allegroimg.com/s400/066037/1d7ae00b434a8258d99f7a661bc0","Lady-fashion","lublin","1013","14.97","18.49","84 osoby kupiły 87 par","nowy","produkt damski",NA,"tworzywo skóropodobne","inny materiał","czerń","tak","36, 37, 38, 39, 40, 41","Inna marka","słupek","8.00",NA,NA,NA,NA,NA,NA
"http://allegro.pl/trampki-sneakersy-botki-na-koturnie-p-ab246-biale-i6514002256.html","TRAMPKI SNEAKERSY BOTKI NA KOTURNIE P Ab246 Białe(6514002256)","39.90","https://2.allegroimg.com/s400/018a11/5e58286642d98b1ed5c358d24622","Selui","Myszków","22","7.49","11.9","176 osób kupiło 192 pary","nowy","produkt damski",NA,"tkanina","inny materiał","biel","tak","36, 37, 38, 39, 40, 41","Inna marka","koturn","7.00",NA,NA,NA,NA,NA,NA
"http://allegro.pl/wygodne-zamszowe-kozaki-za-kolano-muszkieterki-i6518974753.html","WYGODNE ZAMSZOWE KOZAKI ZA KOLANO MUSZKIETERKI(6518974753)","119.00","https://0.allegroimg.com/s400/01e5ff/1e1d25784c4db8d5bc538dc19ba0","pajmo","Zamość","75","8","10","168 osób kupiło 190 sztuk","nowy","produkt damski",NA,"tworzywo skóropodobne","inny materiał","czerń, odcienie szarości i srebra","tak","36, 37, 38, 39, 40, 41","Inna marka","płaski obcas","2.50","muszkieterki","powyżej kolana","okrągły",NA,NA,NA
"http://allegro.pl/mal3-luksusowe-sztyblety-hx153-black-36-41-i6564842912.html","MAL3 LUKSUSOWE SZTYBLETY HX153 BLACK 36-41(6564842912)","49.00","https://8.allegroimg.com/s400/061fec/ee5a8319448787dac49abed62138","Royal_fashion","Warszawa","129","15","20","21 osób kupiło 21 par","nowy","produkt damski",NA,"tworzywo skóropodobne","inny materiał","czerń","tak","36, 37, 38, 39, 40, 41","Inna marka","płaski obcas","3.50",NA,NA,NA,NA,NA,NA
"http://allegro.pl/7ed3-fantazyjne-kozaki-z-lycra-r-157-black-36-41-i6559289424.html","7ED3 FANTAZYJNE KOZAKI Z LYCRĄ R-157 BLACK 36-41(6559289424)","59.00","https://6.allegroimg.com/s400/06b8bd/3ca3d4474ffeb10e347aaeb2fc26","Royal_fashion","Warszawa","70","15","20","43 osoby kupiły 46 par","nowy","produkt damski",NA,"tworzywo skóropodobne","inny materiał","czerń","tak","36, 37, 38, 39, 40, 41","Inna marka","płaski obcas","3.00","klasyczne","powyżej kolana","okrągły",NA,NA,NA
"http://allegro.pl/czarne-klasyczne-timberki-trapery-stylowe-botki-i6513205063.html","CZARNE KLASYCZNE TIMBERKI TRAPERY STYLOWE BOTKI(6513205063)","64.99","https://9.allegroimg.com/s400/013aeb/1f96992344c38fecc7779f9ef9e9","e-modi","Internet","285","8.6","19.99","201 osób kupiło 227 par","nowy","produkt damski",NA,"tworzywo skóropodobne","inny materiał","czerń","tak","36, 37, 38, 39, 40, 41","Inna marka","płaski obcas","3.50",NA,NA,NA,"3.00 [kg]",NA,NA
"http://allegro.pl/boho-botki-slupek-c221-black-36-41-czarne-fredzle-i6540847394.html","BOHO BOTKI SŁUPEK C221 black 36- 41 czarne frędzle(6540847394)","49.00","https://3.allegroimg.com/s400/01cc20/edc04257472cae9f2dcdc0739a33","HurtowniaModa","Warszawa/ Sprzedaż tylko wysyłkowa","36","10","13","110 osób kupiło 116 sztuk","nowy",NA,NA,"tworzywo skóropodobne","inny materiał","czerń","tak","36, 37, 38, 39, 40, 41","Inna marka","słupek","8.50",NA,NA,NA,NA,NA,NA
"http://allegro.pl/buty-reebok-classic-cl-leather-50149-okazja-2016-i6531602145.html","Buty REEBOK CLASSIC CL LEATHER 50149 OKAZJA 2016 !(6531602145)","139.00","https://b.allegroimg.com/s400/018f60/d78eec3143878f05703ff99a63bb","tampa_aukcje","Kraków","53","8.6","12","210 osób kupiło 231 sztuk","nowy",NA,"niskie","skóra naturalna","inny materiał","czerń, inny kolor","tak","36, 36,5, 37, 38, 38,5, 39",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://allegro.pl/m8-krotkie-mukluki-cwieki-cieplutkie-botki-50-i6543408424.html","M8 KRÓTKIE MUKLUKIćwieki cieplutkie botki-50% !!(6543408424)","27.98","https://1.allegroimg.com/s400/018067/874e31e842ef861bcde78dd6cb21","Lady-fashion","lublin","2428","14.97","18.49","56 osób kupiło 76 par","nowy","produkt damski",NA,"inny materiał","inny materiał","czerń, odcienie brązu i beżu, odcienie szarości i srebra, odcienie żółtego i złota, wielokolorowy, inny kolor","tak","36, 37, 38, 39, 40, 41","Inna marka","płaski obcas","1.00",NA,NA,NA,NA,NA,NA
"http://allegro.pl/5ap4-ekstra-botki-slupek-6129-ga-black-36-41-i6567650876.html","5AP4 Ekstra Botki Słupek 6129-GA BLACK 36-41(6567650876)","39.99","https://5.allegroimg.com/s400/062bfd/8c3857654465ad4320873e588a05","Royal_fashion","Warszawa","49","15","20","6 osób kupiło 7 sztuk","nowy","produkt damski",NA,"tworzywo skóropodobne","inny materiał","czerń","tak","36, 37, 38, 39, 40, 41","Inna marka","słupek","10.00",NA,NA,NA,NA,NA,NA
"http://allegro.pl/czarny-botki-ocieplane-slupek-2220b-i6564602679.html","CZARNY BOTKI OCIEPLANE SŁUPEK 2220B(6564602679)","49.90","https://4.allegroimg.com/s400/01a612/38c578924f9db7fa190bec026aa4","aslander_pl","INTERNET","87","13","17","21 osób kupiło 22 pary","nowy",NA,NA,"tworzywo skóropodobne","inny materiał","czerń",NA,"36, 37, 38, 39, 40, 41","Inna marka","słupek","8.00",NA,NA,NA,NA,NA,NA
"http://allegro.pl/buty-damskie-czarne-botki-na-platformie-p-ad12-i6555664972.html","Buty damskie CZARNE BOTKI NA PLATFORMIE P Ad12(6555664972)","37.90","https://2.allegroimg.com/s400/01031a/3148ddd64ada8a66174f6df25682","Selui","Myszków","106","7.49","11.9","71 osób kupiło 80 par","nowy","produkt damski",NA,"tworzywo skóropodobne","inny materiał","czerń","tak","35, 36, 37, 38, 39, 40, 41","Inna marka","koturn","6.00",NA,NA,NA,NA,NA,NA
"http://allegro.pl/saway-szare-zamszowe-kozaki-slupek-wloska-skora-i6505593983.html","SAWAY SZARE ZAMSZOWE KOZAKI SŁUPEK WŁOSKA SKÓRA(6505593983)","239.00","https://2.allegroimg.com/s400/01e42a/06f7e50243e29470e714807a7be2","www_saway_pl","Kraków","27",NA,NA,"197 osób kupiło 208 sztuk","nowy",NA,NA,"skóra naturalna","inny materiał","odcienie szarości i srebra","tak","35, 36, 37, 38, 39, 40, 41","Inna marka","słupek","7.50","klasyczne","powyżej kolana","okrągły",NA,NA,NA
"http://allegro.pl/sneakersy-fredzle-koturny-z-fredzlami-szare-36-41-i6555743323.html","SNEAKERSY Frędzle KOTURNY Z FRĘDZLAMI SZARE 36-41(6555743323)","99.00","https://b.allegroimg.com/s400/014fb4/2af68eec42c898f531a571e21cab","HurtowniaModa","Sprzedaż  wysyłkowa","20","10","13","69 osób kupiło 71 sztuk","nowy",NA,NA,"tworzywo skóropodobne","inny materiał","odcienie szarości i srebra","tak","36, 37, 38, 39, 40, 41","Inna marka","koturn","8.00",NA,NA,NA,NA,NA,NA
