"url","tytul","cena","zdjecie","sprzedajacy","lokalizacja","pozostala_liczba_par","minimalna_cena_dostawy","maksymalna_cena_dostawy","licznik_sprzedazy","stan","marka","materiał zewnętrzny","materiał wkładki","kolor","rozmiar","płeć","wysokość","dostawa z Polski","rodzaj obcasa","wysokość obcasa (cm)","fason","wysokość cholewki","kształt noska","waga (z opakowaniem)","typ","rodzaj"
"http://allegro.pl/trampki-sneakersy-botki-na-koturnie-p-ab246-biale-i6514002256.html","TRAMPKI SNEAKERSY BOTKI NA KOTURNIE P Ab246 Białe(6514002256)","39.90","https://2.allegroimg.com/s400/018a11/5e58286642d98b1ed5c358d24622","Selui","Myszków","28","11.90","8.90","170 osób kupiło 186 par","nowy","Inna marka","tkanina","inny materiał","biel","36, 37, 38, 39, 40, 41","produkt damski",NA,"tak","koturn","7.00",NA,NA,NA,NA,NA,NA
"http://allegro.pl/klasyczne-timberki-botki-stylowe-trapery-oliwka-i6564354898.html","Klasyczne TIMBERKI botki STYLOWE trapery OLIWKA(6564354898)","79.00","https://6.allegroimg.com/s400/0124ea/18a2330c4699b8cb573b8108dbb6","Soluel_","Warszawa","23","10.00","15.00","1 osoba kupiła 1 parę","nowy","Inna marka","inny materiał","inny materiał","odcienie zieleni","36, 37, 38, 39, 40, 41","produkt damski",NA,"tak","płaski obcas","3.00",NA,NA,NA,"0.50 [kg]",NA,NA
"http://allegro.pl/saway-botki-z-klodka-sneakersy-koturn-wloska-skora-i6536795209.html","SAWAY BOTKI Z KŁÓDKĄ SNEAKERSY KOTURN WŁOSKA SKÓRA(6536795209)","249.00","https://1.allegroimg.com/s400/01c9db/894fa65b42aba1ea866b3d2407b1","www_saway_pl","Kraków","26",NA,NA,"135 osób kupiło 139 sztuk","nowy","Inna marka","skóra naturalna","skóra naturalna","czerń","35, 36, 37, 38, 39, 40, 41",NA,NA,"tak","koturn","6.50",NA,NA,NA,NA,NA,NA
"http://allegro.pl/sneakersy-fredzle-koturny-z-fredzlami-szare-36-41-i6555743323.html","SNEAKERSY Frędzle KOTURNY Z FRĘDZLAMI SZARE 36-41(6555743323)","99.00","https://b.allegroimg.com/s400/014fb4/2af68eec42c898f531a571e21cab","HurtowniaModa","Sprzedaż  wysyłkowa","23","10.00","13.00","53 osoby kupiły 53 sztuki","nowy","Inna marka","tworzywo skóropodobne","inny materiał","odcienie szarości i srebra","36, 37, 38, 39, 40, 41",NA,NA,"tak","koturn","8.00",NA,NA,NA,NA,NA,NA
"http://allegro.pl/promocja-krotkie-botki-na-wysokiej-koturnie-i6531637628.html","PROMOCJA KRÓTKIE BOTKI NA WYSOKIEJ KOTURNIE!!(6531637628)","29.99","https://d.allegroimg.com/s400/0627ec/387e86804b8c9de77f2c0881476d","sklep_szpilka24","rzeczyca","50","13.00","40.00","125 osób kupiło 137 par","nowy","Inna marka","inny materiał","inny materiał","czerń","36, 37, 38, 39, 40, 41","produkt damski",NA,"tak","koturn","4.00",NA,NA,NA,NA,NA,NA
"http://allegro.pl/h8-sznurowane-botki-slupek-na-obcasie-skora-i6552878957.html","H8SZNUROWANE BOTKI SŁUPEK NA OBCASIE SKÓRA(6552878957)","44.99","https://0.allegroimg.com/s400/066037/1d7ae00b434a8258d99f7a661bc0","Lady-fashion","lublin","1041","14.97","18.49","59 osób kupiło 61 par","nowy","Inna marka","tworzywo skóropodobne","inny materiał","czerń","36, 37, 38, 39, 40, 41","produkt damski",NA,"tak","słupek","8.00",NA,NA,NA,NA,NA,NA
"http://allegro.pl/boho-botki-slupek-c221-black-36-41-czarne-fredzle-i6540847394.html","BOHO BOTKI SŁUPEK C221 black 36- 41 czarne frędzle(6540847394)","49.00","https://3.allegroimg.com/s400/01cc20/edc04257472cae9f2dcdc0739a33","HurtowniaModa","Warszawa/ Sprzedaż tylko wysyłkowa","37","10.00","13.00","98 osób kupiło 103 sztuki","nowy","Inna marka","tworzywo skóropodobne","inny materiał","czerń","36, 37, 38, 39, 40, 41",NA,NA,"tak","słupek","8.50",NA,NA,NA,NA,NA,NA
"http://allegro.pl/wygodne-zamszowe-kozaki-za-kolano-muszkieterki-i6518974753.html","WYGODNE ZAMSZOWE KOZAKI ZA KOLANO MUSZKIETERKI(6518974753)","119.00","https://0.allegroimg.com/s400/01e5ff/1e1d25784c4db8d5bc538dc19ba0","pajmo","Zamość","81","10.00","9.00","152 osoby kupiły 172 sztuki","nowy","Inna marka","tworzywo skóropodobne","inny materiał","czerń, odcienie szarości i srebra","36, 37, 38, 39, 40, 41","produkt damski",NA,"tak","płaski obcas","2.50","muszkieterki","powyżej kolana","okrągły",NA,NA,NA
"http://allegro.pl/k1-klasyczne-czarne-timberki-trapery-botki-trapers-i6560152729.html","K1 KLASYCZNE CZARNE TIMBERKI TRAPERY BOTKI TRAPERS(6560152729)","59.89","https://b.allegroimg.com/s400/010d3e/817c3219492b9c366bf08c17816b","sellYo_pl","Lublin","22","14.97","35.00","24 osoby kupiły 26 par","nowy","Inna marka","tworzywo skóropodobne","tworzywo sztuczne","czerń","36, 37, 38, 39, 40, 41","produkt damski",NA,"tak","słupek","3.00",NA,NA,NA,NA,NA,NA
"http://allegro.pl/promocja-krotkie-czerwone-botki-eco-nubuk-i6552020572.html","PROMOCJA KRÓTKIE CZERWONE BOTKI ECO NUBUK!!(6552020572)","18.90","https://d.allegroimg.com/s400/062ea5/e79f5c5845f2bdda0ba36216588d","sklep_szpilka24","rzeczyca","6","13.00","40.00","63 osoby kupiły 72 pary","nowy","Inna marka","inny materiał","inny materiał","odcienie czerwieni","36, 37, 38, 39, 40, 41","produkt damski",NA,"tak","słupek","12.50",NA,NA,NA,NA,NA,NA
"http://allegro.pl/azurowe-czarne-kozaki-buty-damskie-botki-ac31-p-i6559041211.html","AŻUROWE CZARNE KOZAKI buty damskie botki Ac31 p(6559041211)","49.90","https://7.allegroimg.com/s400/01a290/6f884aa94b299ace196bf9062bb7","Selui","Myszków","11","11.90","8.90","33 osoby kupiły 40 par","nowy","Inna marka","tworzywo skóropodobne","inny materiał","czerń","36, 37, 38, 39, 40, 41","produkt damski",NA,"tak","płaski obcas","3.00","klasyczne","do kolana","okrągły",NA,NA,NA
"http://allegro.pl/klasyczne-timberki-trapery-botki-ocieplane-kolory-i6539006781.html","KLASYCZNE TIMBERKI TRAPERY BOTKI OCIEPLANE KOLORY(6539006781)","39.98","https://2.allegroimg.com/s400/06af3d/1b233cc64819b49d4d26e6398232","Lady-fashion","lublin","1087","14.97","18.49","96 osób kupiło 112 par","nowy","Inna marka","tworzywo skóropodobne","inny materiał","czerń, odcienie brązu i beżu, wielokolorowy, inny kolor","36, 37, 38, 39, 40, 41","produkt damski",NA,"tak","płaski obcas","3.00",NA,NA,NA,NA,NA,NA
"http://allegro.pl/buty-reebok-classic-cl-leather-50149-okazja-2016-i6531602145.html","Buty REEBOK CLASSIC CL LEATHER 50149 OKAZJA 2016 !(6531602145)","139.00","https://b.allegroimg.com/s400/018f60/d78eec3143878f05703ff99a63bb","tampa_aukcje","Kraków","86","10.00","8.60","184 osoby kupiły 204 sztuki","nowy",NA,"skóra naturalna","inny materiał","czerń, inny kolor","36, 36,5, 37, 38, 38,5, 39",NA,"niskie","tak",NA,NA,NA,NA,NA,NA,NA,NA
"http://allegro.pl/buty-damskie-kalosze-sztyblety-gumowce-p-y182-i6543783681.html","Buty damskie Kalosze Sztyblety Gumowce p Y182(6543783681)","24.90","https://a.allegroimg.com/s400/01754b/e8e34da74d52a99be4fae6ab424a","Selui","Myszków","1","11.90","8.90","102 osoby kupiły 110 par","nowy","Inna marka","guma","inny materiał","czerń","36, 37, 38, 39, 40, 41","produkt damski",NA,"tak",NA,NA,NA,NA,NA,NA,NA,NA
"http://allegro.pl/buty-damskie-czarne-botki-na-platformie-p-ad12-i6555664972.html","Buty damskie CZARNE BOTKI NA PLATFORMIE P Ad12(6555664972)","37.90","https://2.allegroimg.com/s400/01031a/3148ddd64ada8a66174f6df25682","Selui","Myszków","18","11.90","8.90","46 osób kupiło 52 pary","nowy","Inna marka","tworzywo skóropodobne","inny materiał","czerń","35, 36, 37, 38, 39, 40, 41","produkt damski",NA,"tak","koturn","6.00",NA,NA,NA,NA,NA,NA
"http://allegro.pl/botki-zamszowe-na-slupku-zloty-zamek-a920-czarne-i6534861941.html","BOTKI ZAMSZOWE NA SŁUPKU ZŁOTY ZAMEK A920 CZARNE(6534861941)","59.99","https://5.allegroimg.com/s400/0139eb/b67d2d954394a1270ace6f4bf355","HurtowniaModa","Warszawa/ Sprzedaż tylko wysyłkowa","43","10.00","13.00","119 osób kupiło 130 sztuk","nowy","Inna marka","tworzywo skóropodobne","inny materiał","czerń","36, 37, 38, 39, 40, 41",NA,NA,"tak","słupek","9.50",NA,NA,NA,NA,NA,NA
